Designator,Mid X,Mid Y,Rotation,Layer
_3,174.4,-90.4,0.0,top
_2,171.825,-90.5,0.0,top
,161.25,-106.85,0.0,top
C1,171.75,-94.45,270.0,top
C10,157.6,-102.1,180.0,top
C11,157.7,-104.35,0.0,top
C12,151.9,-89.6,270.0,top
C2,174.35,-94.45,270.0,top
C25,128.875,-115.65,180.0,top
C26,128.95,-111.95,180.0,top
C27,137.9,-112.35,270.0,top
C28,134.0,-117.4,0.0,top
C29,192.1,-109.55,180.0,top
C30,181.9,-108.25,270.0,top
C31,186.0,-102.0,0.0,top
C32,168.0,-116.0,180.0,top
C33,169.0,-119.0,270.0,top
C34,167.0,-123.0,90.0,top
C35,167.0,-119.0,270.0,top
C36,169.0,-123.0,90.0,top
C37,156.875,-118.0,0.0,top
C38,156.9,-114.9,0.0,top
C39,128.3,-68.1,270.0,top
C40,120.0,-68.15,270.0,top
C41,120.55,-122.65,180.0,top
C42,127.75,-122.7,0.0,top
C43,169.4,-73.15,180.0,top
C44,177.05,-73.0,0.0,top
C47,183.2,-66.85,90.0,top
C48,134.95,-124.15,270.0,top
C49,142.0,-74.0,180.0,top
C5,154.2,-89.6,90.0,top
C50,165.0,-89.0,270.0,top
C51,141.0,-69.0,90.0,top
C52,143.0,-69.0,90.0,top
C53,129.4,-74.6,0.0,top
C54,129.3,-76.8,180.0,top
C55,129.35,-83.15,0.0,top
C57,129.3,-81.05,180.0,top
D1,167.35,-104.8,0.0,top
D3,194.2,-116.7,180.0,top
D4,163.0,-123.0,90.0,top
D5,168.0,-112.0,180.0,top
D6,156.0,-120.0,180.0,top
D7,190.15,-79.8,180.0,top
D8,190.15,-77.7,180.0,top
F1,162.15,-114.3,90.0,top
J10,112.0,-95.25,270.0,top
J17,169.4,-127.5,0.0,top
J18,112.0,-79.0,270.0,top
J20,184.5,-119.5,0.0,top
J21,124.05,-63.95,180.0,top
J22,123.75,-126.0,0.0,top
J23,172.9,-69.15,0.0,top
J25,112.0,-111.0,270.0,top
J26,194.7,-84.6,90.0,top
J27,119.75,-78.95,270.0,top
J28,120.0,-111.05,270.0,top
J29,135.05,-68.65,0.0,top
JUSB1,151.8,-126.59,0.0,top
Q1,173.85,-114.1,0.0,top
Q4,145.85,-110.2875,0.0,top
Q5,148.8,-106.5125,270.0,top
R1,144.35,-123.1,180.0,top
R13,169.05,-101.1,0.0,top
R14,128.95,-113.75,0.0,top
R15,131.65,-108.7,180.0,top
R16,135.125,-108.65,0.0,top
R17,165.0,-123.0,270.0,top
R18,186.0,-100.0,0.0,top
R19,186.0,-98.0,180.0,top
R2,144.35,-121.1,180.0,top
R20,168.0,-114.0,0.0,top
R21,156.9,-113.35,0.0,top
R22,156.875,-116.45,180.0,top
R23,156.925,-111.8,180.0,top
R24,156.975,-110.2,0.0,top
R25,145.35,-114.95,180.0,top
R26,145.35,-113.3,180.0,top
R27,151.8,-110.225,270.0,top
R28,149.45,-109.525,0.0,top
R29,145.95,-106.825,90.0,top
R30,151.7,-106.825,90.0,top
R31,142.0,-72.0,180.0,top
R32,163.0,-89.0,270.0,top
R35,129.35,-79.05,0.0,top
R36,190.2,-81.9,0.0,top
R37,190.15,-75.65,0.0,top
R4,166.875,-68.35,0.0,top
R5,166.875,-70.35,0.0,top
R9,156.6,-90.7,270.0,top
SW1,144.35,-127.15,90.0,top
SW2,159.3,-126.9,90.0,top
U10,192.0,-100.0,90.0,top
U11,175.025,-108.8875,180.0,top
U12,174.0,-121.0,90.0,top
U13,150.75,-115.2,180.0,top
U14,130.7,-96.6,270.0,top
U15,174.0,-82.725,90.0,top
U16,135.75,-78.125,270.0,top
U18,154.055,-76.235,0.0,top
U2,151.75,-120.1875,90.0,top
U6,134.0,-113.05,0.0,top
U8,154.3,-96.45,180.0,top
